,date,headline,source,polarity,subjectivity
55,6/28/2019 2:12:00 PM ,Italian court set to approve sale of Roberto Cavalli to Damac  ,Reuters,0.0,0.0
56,6/28/2019 2:12:00 PM ,EXPLAINER-U.S.-China trade war: the levers each country can pull  ,Reuters,0.0,0.0
57,6/28/2019 2:09:00 PM ,"Brazil to add 402 megawatts of power generation, mostly solar  ",Reuters,0.5,0.5
58,6/28/2019 2:08:50 PM - ,"Wells Fargo's Class A Preferred Stock, Series L Shares Cross 5.5% Yield Mark  ",BNK Invest,0.0,0.0
59,6/28/2019 2:05:30 PM - ,"Nike Forges Ahead, Reiterates Full-Year Guidance  ",Motley Fool,0.0,0.0
60,6/28/2019 2:03:54 PM - ,"Health Care Sector Update for 06/28/2019: UNH,ARWR,SRNE  ",MT Newswires,0.0,0.0
61,6/28/2019 1:58:00 PM ,"Oil prices steady; set for weekly gain ahead of G20 talks, OPEC  ",Reuters,0.16666666666666666,0.5
62,6/28/2019 1:56:00 PM ,"Mexican president announces plan to provide 40,000 jobs to migrants  ",Reuters,0.0,0.0
63,6/28/2019 1:55:09 PM - ,"Technology Sector Update for 06/28/2019: PRGS,VRRM,JKS  ",MT Newswires,0.0,0.0
64,6/28/2019 1:55:00 PM ,PRECIOUS-Gold gains ahead of U.S.-China trade talks; Platinum jumps 3%  ,Reuters,0.0,0.0
65,6/28/2019 1:46:12 PM - ,"Consumer Sector Update for 06/28/2019: BJ,STZ,LYV  ",MT Newswires,0.0,0.0
66,6/28/2019 1:46:00 PM ,"EU, Mercosur agree free trade treaty after 20 years  ",Reuters,0.4,0.8
67,6/28/2019 1:46:00 PM ,"EU, Mercosur agree on draft free trade treaty  ",Reuters,0.4,0.8
68,6/28/2019 1:42:00 PM - ,Why Shares of Progress Software Popped Today  ,Motley Fool,0.0,0.0
69,6/28/2019 1:39:49 PM - ,"Financial Sector Update for 06/28/2019: SPG,BRAC,MS,MET  ",MT Newswires,0.0,0.0
70,6/28/2019 1:38:00 PM ,U.S. says Saudi pipeline attacks originated in Iraq  ,Reuters,0.0,0.0
71,6/28/2019 1:36:00 PM - ,Constellation Brands' Sales Jump Amid Restructuring  ,Motley Fool,0.0,0.0
72,6/28/2019 1:35:08 PM - ,Varonis System (VRNS) Shares Cross Above 200 DMA  ,BNK Invest,0.0,0.05
73,6/28/2019 1:34:31 PM - ,Portola Pharmaceuticals (PTLA) Shares Cross Above 200 DMA  ,BNK Invest,0.0,0.05
74,6/28/2019 1:34:19 PM - ,"Noteworthy Friday Option Activity: MCD, DIS, HAS  ",BNK Invest,0.0,0.0
75,6/28/2019 1:34:18 PM - ,Saia Breaks Above 200-Day Moving Average - Bullish for SAIA  ,BNK Invest,-0.075,0.25
76,6/28/2019 1:34:09 PM - ,"Notable Friday Option Activity: JPM, BAC, C  ",BNK Invest,0.5,0.5
77,6/28/2019 1:34:07 PM - ,Esperion Therapeutics Breaks Below 200-Day Moving Average - Notable for ESPR  ,BNK Invest,0.175,0.44999999999999996
78,6/28/2019 1:34:00 PM ,"After Trump threat, Vietnam says it wants free and fair trade with U.S.  ",Reuters,0.43333333333333335,0.6
79,6/28/2019 1:33:35 PM - ,IBKR Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
80,6/28/2019 1:32:13 PM - ,"Energy Sector Update for 06/28/2019: EQT,CHK,CNQ,DVN  ",MT Newswires,0.0,0.0
81,6/28/2019 1:32:00 PM ,"U.S. STOCKS ON THE MOVE-Apple, Sarepta, RealReal  ",Reuters,0.0,0.0
82,6/28/2019 1:27:29 PM - ,MKS Instruments Breaks Above 200-Day Moving Average - Bullish for MKSI  ,BNK Invest,-0.075,0.25
83,6/28/2019 1:23:55 PM - ,Bullish Two Hundred Day Moving Average Cross - BRKL  ,BNK Invest,-0.075,0.19999999999999998
84,6/28/2019 1:23:22 PM - ,Motorcar Parts of America Inc (MPAA) Q4 2019 Earnings Call Transcript  ,Motley Fool,0.0,0.0
85,6/28/2019 1:23:00 PM ,Turkish banks press ahead with soccer club debt restructuring  ,Reuters,0.0,0.0
86,6/28/2019 1:20:00 PM ,Argentina fiscal goals on track for now - but about to get much harder  ,Reuters,-0.1,0.0
87,6/28/2019 1:19:00 PM ,U.S. court urged to throw out 'Pharma Bro' Martin Shkreli's conviction  ,Reuters,0.0,0.0
89,6/28/2019 1:00:00 PM - ,5 Cyclical ETFs & Stocks Top in June  ,Zacks.com,0.5,0.5
90,6/28/2019 12:59:00 PM ,Ontario Court of Appeal rules carbon tax is constitutional  ,Reuters,0.0,0.0
91,6/28/2019 12:58:00 PM ,"Cricket-Amla, Du Plessis cruise as South Africa dent Sri Lanka hopes  ",Reuters,0.0,0.0
92,6/28/2019 12:57:00 PM ,Bank payout party is a lavish but sober affair  ,Reuters,0.1,0.2
94,6/28/2019 12:53:00 PM ,"S.African rand lifted by improved economic data, dollar dip  ",Reuters,0.2,0.2
95,6/28/2019 12:52:00 PM ,Banks boost Wall Street with G20 in focus  ,Reuters,0.0,0.0
96,6/28/2019 12:52:00 PM ,US STOCKS-Banks boost Wall Street with G20 in focus  ,Reuters,0.0,0.0
98,6/28/2019 12:42:00 PM - ,CalAmp Turns the Corner  ,Motley Fool,0.0,0.0
99,6/28/2019 12:40:00 PM ,European shares notch best first-half gain in two decades  ,Reuters,0.5,0.15
100,6/28/2019 12:39:00 PM ,Chile's Codelco says Chuqui copper mine fully operational following strike  ,Reuters,0.0,0.1
101,6/28/2019 12:24:00 PM ,Sarepta surges after Pfizer gene therapy data raises safety concerns  ,Reuters,0.0,0.0
102,6/28/2019 12:05:00 PM ,U.S. Democrat Harris clarifies: she won't ban private health insurance  ,Reuters,0.0,0.375
103,6/28/2019 12:05:00 PM ,"Oil prices steady, set for weekly gain ahead of G20 talks, OPEC  ",Reuters,0.16666666666666666,0.5
104,6/28/2019 12:05:00 PM - ,4 Lower-Risk Healthcare Picks for Long-Term Investors  ,Motley Fool,0.0,0.0
105,6/28/2019 12:00:00 PM ,Trump administration targets Maduro's son 'Nicolasito' with sanctions  ,Reuters,0.0,0.0
106,6/28/2019 12:00:00 PM - ,Ask a Fool: What Is an Accredited Investor?  ,Motley Fool,0.0,0.0
107,6/28/2019 12:00:00 PM - ,Ask a Fool: What's the Best Way to Invest for a Child?  ,Motley Fool,1.0,0.3
108,6/28/2019 12:00:00 PM - ,Chronic illness management platform Livongo Health files for a $100 million IPO  ,Renaissance Capital,0.0,0.0
109,6/28/2019 11:58:00 AM - ,OceanFirst Financial Breaks Above 200-Day Moving Average - Bullish for OCFC  ,BNK Invest,-0.049999999999999996,0.16666666666666666
110,6/28/2019 11:57:00 AM ,French health watchdog recommends ending reimbursement for homeopathic drugs  ,Reuters,0.0,0.0
111,6/28/2019 11:57:00 AM ,USDA reports large U.S. soybean sale to China ahead of Trump-Xi meeting  ,Reuters,0.21428571428571427,0.42857142857142855
112,6/28/2019 11:51:43 AM - ,Micron Technology Breaks Above 200-Day Moving Average - Bullish for MU  ,BNK Invest,-0.075,0.25
113,6/28/2019 11:51:40 AM - ,Bullish Two Hundred Day Moving Average Cross - FELE  ,BNK Invest,-0.075,0.19999999999999998
114,6/28/2019 11:51:29 AM - ,HAIN Crosses Above Key Moving Average Level  ,BNK Invest,-0.049999999999999996,0.5
115,6/28/2019 11:51:07 AM - ,This Is the Best Way to Short Google Stock Now  ,InvestorPlace Media,0.5,0.3
116,6/28/2019 11:50:35 AM - ,S&P 500 Analyst Moves: TPR  ,BNK Invest,0.0,0.0
117,6/28/2019 11:50:31 AM - ,Why Chi-Med Stock Is Tanking Today  ,Motley Fool,0.0,0.0
118,6/28/2019 11:48:00 AM ,Junk borrowers storm the market  ,Reuters,0.0,0.0
119,6/28/2019 11:46:00 AM - ,"General Electric, FedEx, Asbury, Vale and Ferrari highlighted as Zacks Bull and Bear of the Day  ",Zacks.com,0.05000000000000002,0.5
120,6/28/2019 11:45:00 AM - ,Top Ranked Momentum Stocks to Buy for June 28th  ,Zacks.com,0.5,0.5
121,6/28/2019 11:44:00 AM ,"FOREX-Dollar dips after price data, focus shifts to G20 meeting  ",Reuters,0.0,0.0
122,6/28/2019 11:42:47 AM - ,Stock Market News: Jony Ive Leaves Apple; Savings Accounts See Rate Cuts  ,Motley Fool,0.0,0.0
123,6/28/2019 11:41:52 AM - ,Landstar System (LSTR) Shares Cross Above 200 DMA  ,BNK Invest,0.0,0.05
124,6/28/2019 11:41:45 AM - ,VVV Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
125,6/28/2019 11:39:42 AM - ,Kennedy-Wilson Holdings (KW) Shares Cross Above 200 DMA  ,BNK Invest,0.0,0.05
126,6/28/2019 11:39:39 AM - ,KAR Auction Services Enters Oversold Territory  ,BNK Invest,0.0,0.0
127,6/28/2019 11:39:34 AM - ,Norwegian Cruise Line Holdings Breaks Above 200-Day Moving Average - Bullish for NCLH  ,BNK Invest,-0.049999999999999996,0.16666666666666666
128,6/28/2019 11:39:31 AM - ,Bullish Two Hundred Day Moving Average Cross - FRC  ,BNK Invest,-0.075,0.19999999999999998
129,6/28/2019 11:39:20 AM - ,CFX Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
130,6/28/2019 11:39:00 AM - ,"Zacks Value Trader Highlights: China Distance Education, Baidu, YY, Ctrip.com and Alibaba  ",Zacks.com,0.0,0.0
131,6/28/2019 11:36:00 AM ,"Relations between Brazil lawmakers, government improve - survey  ",Reuters,0.0,0.0
132,6/28/2019 11:33:50 AM - ,Square Stock News: Why SQ Stock Is Popping Today  ,InvestorPlace Media,0.0,0.0
133,6/28/2019 11:32:00 AM - ,"Zacks.com featured highlights include: BioDelivery, Ciena, United States and Molina  ",Zacks.com,0.0,0.0
134,6/28/2019 11:28:16 AM - ,Why Nvidia Stock Can Stay in Rally Mode  ,InvestorPlace Media,0.0,0.0
135,6/28/2019 11:26:00 AM ,India's current account gap narrows in fiscal Q4 on improved trade balance  ,Reuters,0.0,0.4
136,6/28/2019 11:26:00 AM - ,Top Ranked Income Stocks to Buy for June 28th  ,Zacks.com,0.5,0.5
137,6/28/2019 11:26:00 AM - ,Here's Why Avid Bioservices Is Skyrocketing Today  ,Motley Fool,0.25,1.0
138,6/28/2019 11:25:00 AM - ,Why Shares of KAR Auction Services Are Moving on Friday  ,Motley Fool,0.0,0.0
139,6/28/2019 11:25:00 AM - ,"Zacks.com featured highlights include: GW, CGI and Bloom Energy  ",Zacks.com,0.0,0.0
140,6/28/2019 11:23:00 AM ,"Gold gains ahead of U.S.-China trade talks, set for best month since 2016  ",Reuters,1.0,0.3
141,6/28/2019 11:23:00 AM ,"PRECIOUS-Gold gains ahead of U.S.-China trade talks, set for best month since 2016  ",Reuters,1.0,0.3
142,6/28/2019 11:23:00 AM ,Gold gains ahead of U.S.-China trade talks; Platinum jumps 3%  ,Reuters,0.0,0.0
143,6/28/2019 11:22:22 AM - ,Should You Buy Bank of America After Dividend and Buyback Boost?   ,InvestorPlace Media,0.0,0.0
144,6/28/2019 11:21:00 AM ,StanChart Sustainability bond aims to bridge global gap  ,Reuters,0.0,0.0
145,6/28/2019 11:21:00 AM - ,Why CalAmp Stock Popped 13% Today  ,Motley Fool,0.0,0.0
146,6/28/2019 11:20:04 AM - ,Remain Cautiously Optimistic On CSX Stock  ,InvestorPlace Media,0.0,0.0
147,6/28/2019 11:19:18 AM - ,Maybe Warren Buffett and 3G Capital Should Have Tension Over Kraft Heinz  ,Motley Fool,0.0,0.0
148,6/28/2019 11:17:00 AM - ,"3 Companies, 3 Problems, 0 Easy Answers  ",Motley Fool,0.43333333333333335,0.8333333333333334
149,6/28/2019 11:15:00 AM ,Wall St drifts higher with G20 summit underway  ,Reuters,0.25,0.5
151,6/28/2019 11:15:00 AM - ,5 Sector ETFs That Beat the Market in the First Half  ,Zacks.com,0.04166666666666667,0.25
152,6/28/2019 11:15:00 AM - ,Constellation Brands (STZ) Q1 Earnings & Sales Beat Estimates  ,Zacks.com,0.0,0.0
154,6/28/2019 11:14:32 AM - ,TRTN Crosses Above Key Moving Average Level  ,BNK Invest,-0.049999999999999996,0.5
155,6/28/2019 11:14:30 AM - ,Bullish Two Hundred Day Moving Average Cross - TGP  ,BNK Invest,-0.075,0.19999999999999998
156,6/28/2019 11:14:28 AM - ,BBT Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
157,6/28/2019 11:14:00 AM ,Rare yield ensures success for Mediobanca OBG reopener  ,Reuters,0.3,0.45
158,6/28/2019 11:12:00 AM - ,Is Global X SuperDividend U.S. ETF (DIV) a Strong ETF Right Now?  ,Zacks.com,0.23968253968253964,0.423015873015873
159,6/28/2019 11:10:00 AM ,Luxury online reseller The RealReal soars 40% in debut  ,Reuters,0.0,0.0
160,6/28/2019 11:09:23 AM - ,ABB Breaks Above 200-Day Moving Average - Bullish for ABB  ,BNK Invest,-0.075,0.25
161,6/28/2019 11:09:20 AM - ,Bullish Two Hundred Day Moving Average Cross - STZ  ,BNK Invest,-0.075,0.19999999999999998
162,6/28/2019 11:09:18 AM - ,Goldman Sachs Group Breaks Above 200-Day Moving Average - Bullish for GS  ,BNK Invest,-0.075,0.25
163,6/28/2019 11:09:00 AM - ,Should You Invest in the Fidelity MSCI Energy Index ETF (FENY)?  ,Zacks.com,0.0,0.0
164,6/28/2019 11:07:00 AM ,Encompass Health to pay $48 mln to resolve False Claims Act allegations -U.S. DOJ  ,Reuters,-0.4000000000000001,0.6
165,6/28/2019 11:05:00 AM ,"U.S. STOCKS ON THE MOVE-Apple, bank and crypto stocks  ",Reuters,0.0,0.0
166,6/28/2019 11:05:00 AM - ,Should First Trust Mid Cap Growth AlphaDEX Fund (FNY) Be on Your Investing Radar?  ,Zacks.com,0.125,0.16666666666666666
167,6/28/2019 11:04:42 AM - ,AZZ Shares Cross Above 200 DMA  ,BNK Invest,0.0,0.05
168,6/28/2019 11:04:00 AM ,"Standard Industries, private equity vie for BASF construction chemicals  ",Reuters,0.0,0.1875
169,6/28/2019 11:03:53 AM - ,Chesapeake Lodging Trust Named Top Dividend Stock With Insider Buying and 5.67% Yield (CHSP)  ,BNK Invest,0.5,0.5
170,6/28/2019 11:03:00 AM ,Zimbabwe moves to keep a lid on maize prices after drought  ,Reuters,0.0,0.0
171,6/28/2019 11:02:42 AM - ,First Week of August 16th Options Trading For Woodward (WWD)  ,BNK Invest,0.25,0.3333333333333333
172,6/28/2019 11:02:38 AM - ,First Week of August 16th Options Trading For Momenta Pharmaceuticals (MNTA)  ,BNK Invest,0.25,0.3333333333333333
173,6/28/2019 11:02:37 AM - ,First Week of August 16th Options Trading For Popular (BPOP)  ,BNK Invest,0.425,0.6166666666666667
174,6/28/2019 11:02:26 AM - ,DCI Crosses Above Key Moving Average Level  ,BNK Invest,-0.049999999999999996,0.5
176,6/28/2019 11:01:00 AM - ,Investors Closely Follow G-20  ,Zacks.com,0.0,0.0
177,6/28/2019 11:00:59 AM - ,First Week of February 2020 Options Trading For Exelixis (EXEL)  ,BNK Invest,0.25,0.3333333333333333
178,6/28/2019 11:00:55 AM - ,First Week of August 16th Options Trading For Urban Outfitters (URBN)  ,BNK Invest,0.125,0.16666666666666666
179,6/28/2019 11:00:47 AM - ,First Week of GHDX August 16th Options Trading  ,BNK Invest,0.25,0.3333333333333333
180,6/28/2019 11:00:44 AM - ,First Week of August 16th Options Trading For Methanex (MEOH)  ,BNK Invest,0.25,0.3333333333333333
181,6/28/2019 11:00:00 AM - ,First Week of HLF February 2020 Options Trading  ,BNK Invest,0.25,0.3333333333333333
182,6/28/2019 11:00:00 AM - ,Radio giant iHeartMedia withdraws IPO application in favor of a Nasdaq direct listing  ,Renaissance Capital,0.05,0.7
183,6/28/2019 10:59:57 AM - ,Interesting HCA Put And Call Options For August 16th  ,BNK Invest,0.5,0.5
184,6/28/2019 10:59:52 AM - ,Interesting CXW Put And Call Options For August 16th  ,BNK Invest,0.5,0.5
185,6/28/2019 10:59:49 AM - ,First Week of MSCI August 16th Options Trading  ,BNK Invest,0.25,0.3333333333333333
186,6/28/2019 10:59:48 AM - ,Interesting POL Put And Call Options For August 16th  ,BNK Invest,0.5,0.5
187,6/28/2019 10:59:47 AM - ,GTY Crosses Above Key Moving Average Level  ,BNK Invest,-0.049999999999999996,0.5
188,6/28/2019 10:57:00 AM - ,PayPal's COO Is Leaving -- Should Investors Be Worried?  ,Motley Fool,0.0,0.0
189,6/28/2019 10:55:49 AM - ,"GSG, IQIN: Big ETF Outflows  ",BNK Invest,0.0,0.1
190,6/28/2019 10:55:03 AM - ,"FVD, BOIL: Big ETF Inflows  ",BNK Invest,0.0,0.1
191,6/28/2019 10:55:00 AM ,"Turkish inflation to fall in June on base effect, cheaper fresh produce  ",Reuters,-0.25,0.75
192,6/28/2019 10:54:23 AM - ,June 2020 Options Now Available For VanEck Vectors ETF Trust - Gold Miners ETF (GDX)  ,BNK Invest,0.4,0.4
193,6/28/2019 10:54:22 AM - ,June 2020 Options Now Available For NRG Energy (NRG)  ,BNK Invest,0.4,0.4
194,6/28/2019 10:54:00 AM ,Canadian firms expect increase in sales growth -Bank of Canada survey  ,Reuters,0.0,0.0
195,6/28/2019 10:53:45 AM - ,Vanguard S&P Small-Cap 600 Breaks Above 200-Day Moving Average - Bullish for VIOO  ,BNK Invest,-0.075,0.25
196,6/28/2019 10:53:43 AM - ,Notable ETF Inflow Detected - USIG  ,BNK Invest,0.5,0.5
197,6/28/2019 10:53:41 AM - ,"Notable ETF Inflow Detected - IXUS, BABA, ERUS, BIDU  ",BNK Invest,0.5,0.5
198,6/28/2019 10:53:39 AM - ,ENIA Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
199,6/28/2019 10:53:36 AM - ,Notable ETF Inflow Detected - MUB  ,BNK Invest,0.5,0.5
200,6/28/2019 10:53:35 AM - ,Noteworthy ETF Inflows: MBB  ,BNK Invest,0.0,0.0
201,6/28/2019 10:53:34 AM - ,"Notable ETF Inflow Detected - ITB, LEN, SHW, TOL  ",BNK Invest,0.5,0.5
202,6/28/2019 10:53:32 AM - ,J.P. Morgan EM Local Currency Bond ETF Experiences Big Inflow  ,BNK Invest,0.0,0.05
203,6/28/2019 10:53:29 AM - ,iShares Edge MSCI Min Vol Global ETF Experiences Big Inflow  ,BNK Invest,0.0,0.05
204,6/28/2019 10:53:00 AM ,"Amid Ethiopia unrest, Amhara political party spokesman arrested  ",Reuters,0.0,0.1
205,6/28/2019 10:53:00 AM - ,"Snap-On Hurt by Soft Sales Trend, Growth Plans on Track  ",Zacks.com,0.1,0.35
206,6/28/2019 10:52:37 AM - ,Atlassian Keeps Moving Forward with M&A  ,InvestorPlace Media,0.0,0.0
207,6/28/2019 10:52:03 AM - ,"Friday 6/28 Insider Buying Report: BSTZ, TGTX  ",BNK Invest,0.0,0.0
208,6/28/2019 10:52:00 AM ,"Kenya's Q1 economic growth slows, hurt by agriculture  ",Reuters,0.2,0.2
209,6/28/2019 10:51:20 AM - ,"Dow Movers: UNH, JPM  ",BNK Invest,0.0,0.0
210,6/28/2019 10:51:00 AM - ,Best & Worst Zones of 1H19 and Their ETFs  ,Zacks.com,0.0,0.65
211,6/28/2019 10:50:28 AM - ,"Noteworthy ETF Outflows: VLUE, IBM, GM, HST  ",BNK Invest,0.0,0.0
212,6/28/2019 10:50:27 AM - ,"Nasdaq 100 Movers: XLNX, WDC  ",BNK Invest,0.0,0.0
213,6/28/2019 10:50:24 AM - ,Notable ETF Outflow Detected - MINT  ,BNK Invest,0.5,0.5
214,6/28/2019 10:50:23 AM - ,"DVY, F, OKE, MO: Large Outflows Detected at ETF  ",BNK Invest,0.21428571428571427,0.42857142857142855
215,6/28/2019 10:50:19 AM - ,iShares S&P Small-Cap 600 Value ETF Experiences Big Outflow  ,BNK Invest,0.0,0.1
216,6/28/2019 10:50:15 AM - ,"Notable ETF Outflow Detected - XLB, DD, APD, ECL  ",BNK Invest,0.5,0.5
217,6/28/2019 10:49:43 AM - ,"S&P 500 Movers: MKC, STZ  ",BNK Invest,0.0,0.0
218,6/28/2019 10:49:00 AM ,Canada spurred to action after billions lost in corporate tax revenue  ,Reuters,0.05,0.05
219,6/28/2019 10:48:39 AM - ,Noteworthy ETF Outflows: EFV  ,BNK Invest,0.0,0.0
220,6/28/2019 10:48:38 AM - ,GUNR: ETF Outflow Alert  ,BNK Invest,0.0,0.0
221,6/28/2019 10:48:37 AM - ,"Notable ETF Inflow Detected - USMV, NEM, WM, RSG  ",BNK Invest,0.5,0.5
222,6/28/2019 10:47:00 AM ,"Sterling rises from five-month lows vs dollar, euro  ",Reuters,0.0,0.0
223,6/28/2019 10:47:00 AM ,Mexican utility's spat with IEnova hurts investor confidence  ,Reuters,0.0,0.0
